"Title","Address","Address.2","Suburb","Postcode","Latitude","Longitude","Phone","Website","LGA"
"Acacia Ridge Community Centre","21 Hanify St","","Acacia Ridge",4110,-27.579754,153.019768,"07 3277 4893","https://belong.org.au/","Brisbane (C)"
"Annerley Community Service","26 Devon Street","","Yeronga",4104,-27.51684,153.01617,"0488 084 633","https://communityplus.org.au/annerley-community-service/","Brisbane (C)"
"Bay Islands Community Services","55 Jackson Rd","","Russell Island",4184,-27.658954,153.371791,"07 3409 1177","https://bics.org.au/","Redland (C)"
"Beaudesert Community Centre","44 Tina St","","Beaudesert",4285,-27.988909,153.001686,"07 5541 4216","http://www.beaucare.org.au/community-services.html","Scenic Rim (R)"
"Beenleigh Neighbourhood Centre","10 James St","","Beenleigh",4207,-27.7172417,153.2009612,"07 3287 2840","http://beenleigh.org.au/","Logan (C)"
"Benarrawa Community Development Association","79 Waratah Ave","","Graceville",4075,-27.518651,152.985055,"07 3379 9925","https://www.facebook.com/Benarrawa/","Brisbane (C)"
"Better Together Community Support","38 Mabel Street","","Atherton",4883,-17.26653,145.477406,"07 4091 3850","http://www.cst.org.au/","Tablelands (R)"
"Blackall Neighbourhood Centre","6 Coronation Drive","","Blackall",4472,-24.4246065,145.4648936,"07 4621 6600","http://www.btrc.qld.gov.au/blackall-neighbourhood-centre","Blackall-Tambo (R)"
"Boulia Community Support Service","Lot 606 Moonah St","","Boulia",4829,-22.908359,139.909389,"07 4746 3700","https://www.facebook.com/bouliacommunitysupportservices/","Boulia (S)"
"Bowen Neighbourhood Centre","20 Williams St","","Bowen",4805,-20.012083,148.248102,"07 4786 2111","http://bowenneighbourhoodcentre.org.au/","Whitsunday (R)"
"Bribie Island Neighbourhood Centre","9 Verdoni St","","Bellara",4507,-27.064283,153.153121,"07 3408 8440","","Moreton Bay (R)"
"Brilla Brilla Centre (Community Support Service)","1 Violet St","","Healy",4825,-20.739235,139.494793,"07 4743 7671","","Mount Isa (C)"
"Bundaberg and District Neighbourhood Centre","111 Targo St","","Bundaberg South",4670,-24.87489,152.353649,"07 4153 1614","http://www.kenalwynbnc.org.au/","Bundaberg (R)"
"Burdekin Community Association Community Support Service","130 Queen St","The Support Centre - Old National Bank Building","Ayr",4807,-19.575358,147.406302,"07 4783 3744","http://www.burdekincommunityassociation.org.au/","Burdekin (S)"
"Burdekin Neighbourhood Centre Association","40 Chippendale St","","Ayr",4807,-19.567064,147.411513,"07 4783 4243","http://thebnc.org.au/","Burdekin (S)"
"Caboolture Neighbourhood Centre","9 George St","","Caboolture",4510,-27.083784,152.94914,"07 5428 1404","http://www.caboolturenhc.com.au/","Moreton Bay (R)"
"Caloundra Community Centre","58a Queen St","","Caloundra",4551,-26.794403,153.130271,"07 5491 4000","https://www.caloundracommunitycentre.org/","Sunshine Coast (R)"
"Cannon Hill Community Centre","18 Lang St","","Cannon Hill",4170,-27.468426,153.080048,"07 3517 2424","https://www.ymcabrisbane.org/services/community-centres/cannon-hill","Brisbane (C)"
"Capella Tieri Middlemount Community Support Network","26 Talagai Ave","","Tieri",4709,-23.03484,148.34229,"07 4984 8349","","Central Highlands (R) (Qld)"
"Care Balonne Community Support Service","84-86 Victoria St","","St George",4487,-28.035219,148.583589,"07 4625 5450","https://www.carebalonne.com/","Balonne (S)"
"Care Goondiwindi Association","111 Callandoon","","Goondiwindi",4390,-28.54631,150.31343,"07 4670 0700","https://caregoondiwindi.org.au/","Goondiwindi (R)"
"Centacare Family and Relationship Services  Kingaroy","15 Albert St","","Kingaroy",4610,-26.536998,151.840948,"07 4162 5439","https://centacare.com/location/centacare-family-and-relationship-services-kingaroy/","South Burnett (R)"
"Charleville Neighbourhood Centre","114-118  Alfred St","","Charleville",4470,-26.400514,146.2415615,"07 4654 1307","https://neighbourhoodcentre.wixsite.com/cdcsai","Murweh (S)"
"Charters Towers Neighbourhood Centre","3 Powell Lane","","Charters Towers City",4820,-20.07757,146.257649,"07 4787 4797","https://www.prospect.org.au/","Charters Towers (R)"
"Childers Neighbourhood Centre","69 Churchill St","","Childers",4660,-25.236133,152.277531,"07 4130 4690","https://www.bundaberg.qld.gov.au/neighbourhood-centres-1/childers-neighbourhood-centre","Bundaberg (R)"
"Chinchilla Community Centre","71 Middle St","","Chinchilla",4413,-26.7428658,150.6271319,"07 4662 8528","https://www.chinchillacommunitycentre.org/","Western Downs (R)"
"Cloncurry Neighbourhood Centre","57 Sheaffe St","","Cloncurry",4824,-20.706394,140.505009,"1300 672 273","https://www.centacarenq.org.au/centres/cloncurry/","Cloncurry (S)"
"CO.AS.IT. Community Services Inc","473 Lutwyche Road","","Lutwyche",4010,-27.423892,153.03394,"07 3624 6100","http://www.coasit.asn.au/","Brisbane (C)"
"Coastal Community Development Service","36 Macartney St","","St Lawrence",4707,-22.346026,149.53664,"07 4964 5400","","Isaac (R)"
"Collinsville Community Association","81 Garrick St","Collinsville Hospital","Collinsville",4804,-20.5464542,147.8375859,"07 4785 5965","https://www.facebook.com/collinsvillecommunityassociation/","Whitsunday (R)"
"Community Support Centre Innisfail","13-17 Donald St","","Innisfail",4860,-17.521646,146.024086,"07 4043 8400","http://www.csci.org.au/","Cassowary Coast (R)"
"Cooktown District Community Centre","11 Charles St","","Cooktown",4895,-15.480138,145.252896,"07 4069 6098","https://www.facebook.com/CooktownDCC/","Cook (S)"
"Crestmead Community Centre","1 Gimlet St","","Crestmead",4132,-27.689197,153.092232,"07 3805 4100","https://www.pcyc.org.au/clubs/pcyc-crestmead/","Logan (C)"
"Deception Bay Neighbourhood Centre","D24 Endeavour St","","Deception Bay",4508,-27.184408,153.026318,"07 3204 2022","http://www.dbnc.org.au/","Moreton Bay (R)"
"Discovery Coast Community Support Service","71 Springs Rd","","Agnes Water",4677,-24.21153,151.910173,"0429 498 666","","Gladstone (R)"
"Dysart Community Support Group Inc","21 Queen Elizabeth Dve","","Dysart",4745,-22.590945,148.348418,"07 4958 2461","https://www.facebook.com/Dysart-Community-Support-Group-298820770889042/","Isaac (R)"
"Eagleby Neighbourhood Centre","94-112 Fryar Rd","","Eagleby",4207,-27.705799,153.211944,"07 3151 6132","https://www.wmq.org.au/youth-and-parenting-support/eagleby-neighbourhood-centre","Logan (C)"
"East Brisbane Community Centre","538 Vulture St East","","East Brisbane",4169,-27.485346,153.043169,"07 3896 1300","http://ebcc.com.au/","Brisbane (C)"
"East Creek Community Centre","43 Kitchener St","","East Toowoomba",4350,-27.568872,151.963185,"07 4639 2755","http://eastcreek.com.au/","Toowoomba (R)"
"ECHO Neighbourhood House","11-15 Eacham Place","","Malanda",4885,-17.354556,145.592632,"07 4096 6634","https://www.echomalanda.org.au/","Tablelands (R)"
"Elorac Place Community Centre","11a Southampton Rd","","Ellen Grove",4078,-27.614864,152.938346,"07 3271 3592","https://www.wmq.org.au/youth-and-parenting-support/elorac-place-community-centre","Brisbane (C)"
"Emerald Neighbourhood Centre","17 Yamala St","","Emerald",4720,-23.522219,148.159981,"07 4982 1696","https://www.emeraldneighbourhoodcentre.org.au/","Central Highlands (R) (Qld)"
"Fassifern Community Centre","4 Little High St","","Boonah",4310,-27.99778,152.68218,"07 5463 2966","https://carinity.org.au/our-services/youth-families/community-centre-meeting-spaces/fassifern-community-centre/","Scenic Rim (R)"
"Gailes Community House","30 Karina St","","Gailes",4300,-27.610353,152.919395,"07 3879 3004","http://www.gailescommunityhouse.com.au/","Ipswich (C)"
"Garbutt Community Centre","15 Lonerganne St","","Garbutt",4814,-19.263584,146.782142,"07 4779 7268","https://communitygro.org.au/our-community/garbutt-community-centre/","Townsville (C)"
"George Street Neighbourhood Hub","4 George St","","Mackay",4740,-21.150644,149.183749,"07 4957 2626","http://tnhub.org.au/","Mackay (R)"
"Gin Gin Neighbourhood Centre","4 Dear St","","Gin Gin",4671,-24.989737,151.953643,"07 4130 4630","https://www.bundaberg.qld.gov.au/neighbourhood-centres-1/gin-gin-neighbourhood-centre","Bundaberg (R)"
"Gladstone Community and Neighbourhood Centre","1 Pengelly St","","Gladstone",4680,-23.8697,151.25126,"07 4976 6300","https://conversations.gladstone.qld.gov.au/virtual-neighbourhood-centre","Gladstone (R)"
"Goodna Neighbourhood House","33 Queen St","","Goodna",4300,-27.611938,152.896829,"07 3818 1648","https://www.facebook.com/goodnanh/","Ipswich (C)"
"Graham House Community Centre","21 Taylor St East","","Murgon",4605,-26.24679,151.942943,"07 4169 8400","http://grahamhouse.org.au/","Cherbourg (S)"
"Granite Belt Neighbourhood Place","8 Corundum St","","Stanthorpe",4380,-28.652252,151.935623,"07 4681 3777","https://mysd.com.au/cds/","Southern Downs (R)"
"Gympie Community Place","18 Excelsior Rd","","Gympie",4570,-26.19662,152.66654,"07 5482 1147","https://www.gcp.org.au/","Gympie (R)"
"Hambledon House Community Centre","177 Bruce Hwy","","Edmonton",4869,-17.0171379,145.7436809,"07 4037 2874","https://hambledonhouse.com.au/","Cairns (R)"
"Harlaxton Neighbourhood Centre","17d Coonan St","","Harlaxton",4350,-27.526215,151.955924,"07 4639 2868","https://harlaxtonnc.wixsite.com/website","Toowoomba (R)"
"Hervey Bay Neighbourhood Centre","22-36 Charles St","","Pialba",4655,-25.281612,152.837059,"07 4194 3000","https://www.hbnc.com.au/","Fraser Coast (R)"
"Hinchinbrook Community Support Centre","71 Townsville Rd","","Ingham",4850,-18.652794,146.153565,"07 4776 1822","http://www.hcsc.org.au/","Hinchinbrook (S)"
"Hinterland Community Development Worker Program","58 Queen St","","Caloundra",4551,-26.7944286,153.1303494,"07 5491 4000","https://www.caloundracommunitycentre.org/hinterland-community-development-program","Sunshine Coast (R)"
"Hub Neighbourhood Centre Inala","79 Poinsettia St","","Inala",4077,-27.5980503,152.9655576,"07 3372 3770","https://www.hubcommunity.org.au/","Brisbane (C)"
"Inala Community House","20 Skylark St","","Inala",4077,-27.59931,152.98205,"07 3372 1711","http://www.ich.org.au/","Brisbane (C)"
"Kallangur Neighbourhood Centre","51 Marsden Rd","","Kallangur",4503,-27.24968,152.98226,"07 3465 3200","https://www.facebook.com/KallangurNeigbourhoodCentre","Moreton Bay (R)"
"Kingston East Neighbourhood Group","177-185 Meakin Rd","","Slacks Creek",4127,-27.646556,153.136227,"07 3808 1684","http://www.keng.org.au/","Logan (C)"
"Kuranda Neighbourhood Centre","6 Rob Veivers Dve","","Kuranda",4881,-16.820124,145.633727,"07 4093 8933","http://kurandanc.com/","Mareeba (S)"
"Kyabra Community Centre","2a Kyabra St","","Runcorn",4113,-27.610107,153.069668,"07 3373 9499","http://www.kyabra.org/","Brisbane (C)"
"Laidley Community Centre","13 Mary St","","Laidley",4341,-27.63905,152.393098,"07 5465 1889","https://laidleycc.org.au/","Lockyer Valley (R)"
"Leichhardt One Mile Community Centre","1-17 Denman St","","Leichhardt",4305,-27.626333,152.741312,"07 3812 1270","http://lcginc.org.au/","Ipswich (C)"
"Livingstone Shire Council - Community Centre","80 John St","","Yeppoon",4703,-23.130886,150.740976,"07 4913 3840","http://www.livingstone.qld.gov.au/communitycentre","Livingstone (S)"
"Lockyer Community Centre","14 Crescent St","","Gatton",4343,-27.554836,152.276773,"07 5462 3355","https://www.lockyercommunitycentre.org.au/","Lockyer Valley (R)"
"Logan East Community Neighbourhood Centre","53-57 Cinderella Dve","","Springwood",4127,-27.613262,153.129064,"07 3808 4529","http://lecna.org.au/","Logan (C)"
"Maleny Neighbourhood Centre","17 Bicentenary Lane","","Maleny",4552,-26.7595143,152.8497524,"07 5499 9345","http://www.malenync.org.au/","Sunshine Coast (R)"
"Manoora Community Centre","29 Marchant St","","Manoora",4870,-16.920636,145.735572,"07 3367 4705","https://www.facebook.com/ManooraCC/","Cairns (R)"
"Maranoa Community Support Service","57 Bungil St","","Roma",4455,-26.5687735,148.7880766,"07 4624 0808","https://www.maranoa.qld.gov.au/","Maranoa (R)"
"Mareeba Community Centre","39b Byrnes St","","Mareeba",4880,-16.988211,145.42152,"07 4092 1948","http://www.mccinc.org.au/","Mareeba (S)"
"Marlin Coast Neighbourhood Centre","205 Reed Rd","","Trinity Park",4879,-16.799198,145.708848,"07 4055 6440","http://www.mcnc.org.au/","Cairns (R)"
"Maroochy Neighbourhood Centre","2 Fifth Ave","","Maroochydore",4558,-26.657007,153.100977,"07 5443 6696","http://maroochync.org.au/","Sunshine Coast (R)"
"Maryborough Neighbourhood Centre","25 Ellena St","","Maryborough",4650,-25.5415935,152.7037512,"07 4121 2141","http://www.maryboroughneighbourhoodcentre.org/","Fraser Coast (R)"
"Millmerran Shire Community Support Service","32 Campbell St","","Millmerran",4357,-27.876612,151.269818,"07 4695 1829","","Toowoomba (R)"
"Monto Neighbourhood Centre","7 Huxley St","","Monto",4630,-24.864151,151.128742,"07 4994 2508","https://www.qld.livebetter.org.au/monto-services","North Burnett (R)"
"Moranbah Youth and Community Centre","2 Appleton Street","","Moranbah",4744,-22.000528,148.050091,"07 4941 5164","https://www.mdssmoranbah.com.au/neighborhood-centre-program","Isaac (R)"
"Mossman Community Centre","20 Mill St","","Mossman",4873,-16.458658,145.375632,"07 4098 2836","http://www.mossmansupportservices.org.au/","Douglas (S)"
"Mt Gravatt Community Centre","1693 Logan Rd","","Upper Mount Gravatt",4122,-27.548287,153.079927,"07 3343 9833","https://www.mgcci.org.au/","Brisbane (C)"
"Mt Isa Neighbourhood Centre","72 Marian St","","Mount Isa",4825,-20.725639,139.499051,"07 4743 4506","https://www.facebook.com/mountisaneighbourhoodcentre/","Mount Isa (C)"
"Multilink Community Services - Neighbourhood Centre Program","38 Blackwood Rd","Blackwood Arcade","Logan Central",4114,-27.637016,153.103887,"07 3808 4463","http://www.multilink.org.au/project/neighbourhood-centre-program/","Logan (C)"
"Murilla Community Centre","73a Murilla St","","Miles",4415,-26.659166,150.186183,"07 4627 2027","https://www.mccm.org.au/","Western Downs (R)"
"Nambour Community Centre","2 Shearer St","","Nambour",4560,-26.628044,152.962897,"07 5441 4724","http://www.nambourcc.org/","Sunshine Coast (R)"
"Nerang Neighbourhood Centre","29 Martin St","","Nerang",4211,-27.988715,153.333162,"07 5578 2457","http://nncinc.com.au/","Gold Coast (C)"
"New Farm Neighbourhood Centre","967 Brunswick St","","New Farm",4005,-27.469796,153.04897,"07 3358 5600","http://www.newfarmneighbourhood.org/","Brisbane (C)"
"Normanton Neighbourhood and Community Centre","46 Dutton St","","Normanton",4890,-17.6744,141.07598,"07 4714 9030","","Carpentaria (S)"
"North Burnett Community Service Neighbourhood Centre","69 Stuart-Russell St","","Mundubbera",4626,-25.586609,151.288391,"07 4165 4690","https://www.nbcs.org.au","North Burnett (R)"
"North Townsville Community Hub","52 Palm Dve","","Deeragun",4818,-19.2452634,146.674211,"07 4751 6511","https://notchdeeragun.weebly.com/","Townsville (C)"
"North West Community Hub","180 Jubilee Tce","","Bardon",4065,-27.456749,152.986425,"07 3198 4410","https://communify.org.au/neighbourhood-centre-program/#bardon","Brisbane (C)"
"Northern Peninsula Area Family and Community Services","255 Adidi St","","Bamaga",4876,-10.8888745,142.3879775,"07 4212 2000","http://www.npaws.com.au/","Northern Peninsula Area (R)"
"Nundah Neighbourhood Centre Program","14 Station St","","Nundah",4012,-27.401302,153.060492,"07 3260 6820","https://northsideconnect.org.au/neighbourhood-centre/","Brisbane (C)"
"Palm Beach Neighbourhood Centre","16 Third Ave","","Palm Beach",4221,-28.123819,153.473683,"07 5598 1505","http://www.palmbeachnc.org.au/","Gold Coast (C)"
"Paroo Community Support Service","51 Stockyard St","","Cunnamulla",4490,-28.071215,145.681961,"07 4655 8400","","Paroo (S)"
"Picabeen Community Centre","22 Hoben St","","Mitchelton",4053,-27.4137368,152.9721397,"07 3354 2555","http://www.picabeen.org.au/","Brisbane (C)"
"Pine Rivers Neighbourhood Centre","865 Gympie Rd","","Lawnton",4501,-27.278452,152.982358,"07 3889 0063","https://encircle.org.au/pine-rivers-neighbourhood-centre/","Moreton Bay (R)"
"Pomona and District Community House","1 Memorial Ave","","Pomona",4568,-26.365622,152.85543,"07 5485 2427","https://www.pomonacommunityhouse.com.au/","Noosa (S)"
"Port Douglas Neighbourhood Centre","6-8 Mowbray St","","Port Douglas",4877,-16.484009,145.463355,"07 4099 5518","https://www.portdouglascommunityservicenetwork.org.au/","Douglas (S)"
"Proserpine Community Centre","36 Gardenia St","","Proserpine",4800,-20.400254,148.583882,"07 4945 5915","https://www.facebook.com/Proserpine-Community-Centre-158843667528276/","Whitsunday (R)"
"Ravenshoe Community Centre","3 Bolton St","","Ravenshoe",4888,-17.61335,145.480595,"07 4097 6726","http://www.ravenshoecommunitycentre.org.au/","Tablelands (R)"
"Redcliffe Neighbourhood Centre","1 Lamington Dve","","Redcliffe",4020,-27.227152,153.108415,"07 3284 3081","https://encircle.org.au/redcliffe-neighbourhood-centre/","Moreton Bay (R)"
"Redland Community Centre","29 Loraine St","","Capalaba",4157,-27.522451,153.1923,"07 3245 2117","http://redlandcommunitycentre.org/","Redland (C)"
"Riverview Community Centre","1/28 Mitchell St","","Riverview",4303,-27.598989,152.846904,"07 3816 2111","https://www.facebook.com/RiverviewCommunityCentre","Ipswich (C)"
"Rollingstone and District Community Association","44 Community Cres","","Balgal Beach",4816,-19.044413,146.408157,"07 4770 7855","https://www.rollingstonecommunityassociation.com/","Townsville (C)"
"Rosewood Community Centre","19 School St","","Rosewood",4340,-27.643911,152.594295,"07 5464 1544","https://radsc.org.au/","Ipswich (C)"
"Sandgate and Bracken Ridge Action Group","153 Rainbow St","","Sandgate",4017,-27.322436,153.073428,"07 3869 3244","http://www.sandbag.org.au/","Brisbane (C)"
"Sarina Neighbourhood Centre","65 Broad St","","Sarina",4737,-21.421322,149.216133,"07 4961 9290 / 4961 9283","https://www.mackay.qld.gov.au/facilities/spaces/sarina_neighbourhood_centre","Mackay (R)"
"Sherwood Neighbourhood Centre","38 Thallon St","","Sherwood",4075,-27.53402,152.981098,"07 3379 6963","http://www.sherwoodnc.org.au/","Brisbane (C)"
"Somerset Region Neighbourhood Centre","82 Ipswich St","","Esk",4312,-27.2418128,152.4233689,"07 5424 4000","","Somerset (R)"
"St David's Neighbourhood Centre","68 Orange Grove Rd","","Coopers Plains",4108,-27.56651,153.0389039,"07 3274 3240","http://www.stdavidsnc.org.au/","Brisbane (C)"
"Studio Village Community Centre","87 Village Way","","Oxenford",4210,-27.919303,153.316874,"07 5529 8253","https://www.studiovillage.com.au/","Gold Coast (C)"
"Tara Neighbourhood Centre","49 Day St","","Tara",4421,-27.276317,150.456515,"07 4665 3508","http://www.taranc.com.au/","Western Downs (R)"
"The Community Place","20 Clark St","","Kalinga",4030,-27.411715,153.045996,"07 3857 1152","http://www.thecommunityplace.com.au/","Brisbane (C)"
"Thursday Island Neighbourhood Centre","156 Douglas St","","Thursday Island",4875,-10.58674,142.21236,"07 4069 1663","","Torres (S)"
"Tully Support Centre","54 Bryant St","","Tully",4854,-17.937042,145.923059,"07 4068 1004","https://tullysupportcentre.com.au/","Cassowary Coast (R)"
"UnitingCare Community (Mooroobool Community Support Service)","98 Birch St","","Manunda",4870,-16.9266331,145.742739,"07 4032 6800","","Cairns (R)"
"Upper Ross Community Centre","43 Allambie Lane","","Rasmussen",4815,-19.3641818,146.726996,"07 4774 0144","https://communitygro.org.au/our-community/upper-ross-community-centre/","Townsville (C)"
"Varsity Lakes Community Resource Centre","20-28 Mattocks Rd","","Varsity Lakes",4227,-28.097741,153.419423,"07 5593 7006","http://varsitylakes.org.au/","Gold Coast (C)"
"Vietnamese Community in Australia (Qld Chapter)","2709 Ipswich Rd","","Darra",4076,-27.572461,152.956579,"07 3375 6036","http://www.vcaqld.org.au/index.php/en/joomlaorg","Brisbane (C)"
"Weipa Community Care Association","Lot 1 Hibberd Dve","","Rocky Point",4874,-12.623198,141.87729,"07 4069 9272","https://www.facebook.com/weipa.care/","Cook (S)"
"West End Community House","4 Norfolk Rd","","South Brisbane",4101,-27.476035,153.012364,"07 3217 2333","http://communityplus.org.au/west/","Brisbane (C)"
"Whitsunday Neighbourhood Centre","Lot 2 Hazelwood Cres","","Cannonvale",4802,-20.279317,148.698354,"07 4946 7850","https://www.whitnc.org.au/","Whitsunday (R)"
"Wilsonton Heights Neighbourhood Centre","14-16 Wine Dve","","Wilsonton Heights",4350,-27.531383,151.930873,"07 4634 7672","https://heightscommunitycentre.wordpress.com/","Toowoomba (R)"
"Winton Neighbourhood Centre","75 Elderslie St","","Winton",4735,-22.39047,143.03651,"07 4657 2688","","Winton (S)"
"Wynnum Neighbourhood and Community Centre","77 Charlotte St","","Wynnum",4178,-27.443496,153.171789,"07 3253 1700","","Brisbane (C)"
"Yeronga Community Centre","26 Devon St","","Yeronga",4104,-27.51676,153.0167,"07 3848 2285","http://communityplus.org.au/yeronga/","Brisbane (C)"
"Zillmere Community Centre","54 Handford Rd","","Zillmere",4034,-27.357599,153.038255,"07 3865 2880","http://www.necsg.org.au/","Brisbane (C)"
